Marker,Fluor
AfHuLym,AfHuLym
AfHuLymICS,AfHuLymICS
AfHuLymICSuv7,AfHuLymICSuv7
Alkaline Phosphatase,PerCP
BCL-6,PE-CF594
BCL/BCA-1,AF700
Blimp-1,BV421
CAR-T,APC
CAR-T,PE
CCR10,BB515
CCR10,BUV395
CD103,PerCP-eFluor710
CD105,BV605
CD107a,AF700
CD107a,Biotin
CD107a,FITC
CD107a,PE-Cy5
CD107b,FITC
CD10,BV421
CD10,Qdot605
CD10,Qdot800
CD116,Biotin
CD116,FITC
CD11b,BV570
CD11b,BV711
CD11b,PE-Cy5
CD11b,PE-Dazzle594
CD11c,BV480
CD11c,BV711
CD11c,PE
CD11c,PE-CF594
CD11c,PE-Cy7
CD120a,Biotin
CD120b,PE-Cy7
CD121A,APC
CD122,BV510
CD123,APC
CD123,BUV661
CD123,BV650
CD123,PE-CF594
CD123,PE-Cy5
CD124,PE-Cy7
CD125w,PE
CD127,APC-R700
CD127,BV570
CD127,BV650
CD127,BV786
CD127,PE
CD127,PE-Cy5
CD134,BV711
CD134,FITC
CD134,PE-Cy5
CD134,PerCP
CD137,APC
CD137,BUV395
CD137L,PE
CD138,Biotin
CD138,PE
CD13,APC-Cy7
CD141,BV750
CD141,FITC
CD141,PE-Cy7
CD141,PE-Vio770
CD146,BV711
CD14,AF700
CD14,BUV496
CD14,FITC
CD14,PE
CD14,PE-Cy5.5
CD14,PE-TexasRed
CD14,PerCP-Cy5.5
CD14,Qdot800
CD152,AF532
CD152,APC
CD152,PE-Cy7
CD154,APC-Cy7
CD154,BUV661
CD154,BUV737
CD159a,PE-Vio770
CD159c,BUV661
CD15,BV510
CD160,AF647
CD160,APC
CD160,PerCP-Cy5.5
CD161,BUV737
CD161,BV605
CD161,PE
CD161,PE-Cy5
CD163,PE-CF594
CD166,BV421
CD16,AF488
CD16,AF700
CD16,APC-Cy7
CD16,APC-H7
CD16,BV421
CD16,BV570
CD16,BV711
CD16,Biotin
CD16,PE-TexasRed
CD16,PerCP-Cy5.5
CD16,V450
CD16,VioBlue
CD172a,PE-Vio770
CD178,APC
CD183,AF700
CD183,BUV661
CD183,BV421
CD183,PE
CD183,PE-Cy5
CD183,PE-Dazzle594
CD184,BV421
CD184,PE-Cy5
CD185,AF488
CD185,AF647
CD185,BUV563
CD185,Biotin
CD185,PerCP-Cy5.5
CD192,PE
CD194,BV605
CD194,BV750
CD194,FITC
CD194,PE-Cy7
CD194,PerCP-Cy5.5
CD195,BUV661
CD195,BUV737
CD195,BV711
CD195,PE-Cy5
CD196,BV650
CD196,BV785
CD196,BV786
CD196,PerCP-Cy5.5
CD197,APC-eFluor780
CD197,BV421
CD197,BV786
CD197,PE-Cy7
CD197,PE-Fire700
CD199,AF700
CD199,PE-Dazzle594
CD19,AF647
CD19,AF700
CD19,APC
CD19,APC-Cy7
CD19,BV421
CD19,BV570
CD19,FITC
CD19,PE
CD19,PE-AF610
CD19,PE-Cy5
CD19,PE-Cy5.5
CD19,PE-Cy7
CD19,PerCP-Cy5.5
CD19,SparkNIR685
CD1c,APC-Cy7
CD1c,BV421
CD1c,BV785
CD1c,FITC
CD1c,PE
CD200,APC
CD209,PE
CD20,AF700
CD20,APC-Cy7
CD20,APC-H7
CD20,BV605
CD20,BV650
CD20,FITC
CD20,PE-Cy5.5
CD20,PerCP-Cy5.5
CD20,Qdot655
CD21,BUV805
CD21,PE-Cy5
CD223,BUV395
CD226,BUV395
CD22,PE-Cy5
CD235a,Biotin
CD235a,FITC
CD23,APC-R700
CD23,BV421
CD23,PE-Cy7
CD244,APC-Cy7
CD24,AF532
CD24,PE-AF610
CD24,PE-CF594
CD258,Biotin
CD25,APC-Cy7
CD25,BV421
CD25,BV786
CD25,PE
