Marker1,Fluor1,Marker2,Fluor2,Marker3,Fluor3,Marker4,Fluor4,Marker5,Fluor5,Marker6,Fluor6,Marker7,Fluor7,Marker8,Fluor8,Marker9,Fluor9,Marker10,Fluor10
LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadBlue,LiveDead,LiveDeadAqua
CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5,CD21,PE-Cy5
CD279,BV421,CD279,BV421,CD279,BV785,CD279,BV421,CD279,BV421,CD279,BV421,CD279,BV421,CD279,BV421,CD279,BV421,CD279,BV785
CD86,AF700,CD86,AF700,CD86,AF700,CD86,AF700,CD86,BV650,CD86,AF700,CD86,AF700,CD86,AF700,CD86,AF700,CD86,BV650
CLA,BV605,CLA,FITC,CLA,FITC,CLA,FITC,CLA,BV605,CLA,FITC,CLA,FITC,CLA,FITC,CLA,FITC,CLA,BV605
CD314,PE,CD183,PE,CD11b,BV570,CD183,PE,CD314,PE,CD183,PE,CD183,PE-Dazzle594,CD183,PE,CD183,PE,CD314,PE
CD183,BUV661,CD314,BV605,HLA-DR,PE-TexasRed,CD314,BV605,CD183,BUV661,CD314,BV605,CD11b,BV711,CD314,BV605,CD314,BV605,HLA-DR,BV570
CD11b,BV711,CD57,PE-Cy7,IgM,PE,CD57,PE-Cy7,CD123,APC,CD57,PE-Cy7,CD28,BV650,CD57,PE-Cy7,CD57,PE-Cy7,CD11b,BV711
CD28,PE-CF594,CD11b,PE-Dazzle594,CD314,BV650,CD11b,BV570,CD11b,BV711,CD11b,BV711,CD314,PE,CD11b,BV711,CD11b,PE-Dazzle594,IgM,BV480
CD11c,PE-Cy7,CD28,BV650,CD183,BV421,IgM,BV786,CD28,PE-CF594,CD11c,PE-CF594,CD11c,PE-Cy7,CD11c,PE-CF594,CD28,BV650,CD11c,PE-Cy7
CD57,FITC,CD11c,BV711,CD28,eFluor450,CD197,APC-eFluor780,CD11c,PE-Cy7,CD28,BV650,CD57,BV605,CD28,BV650,CD11c,BV711,CD57,FITC
CD24,PE-AF610,IgM,BV480,CD24,AF532,HLA-DR,PE-Cy5.5,CD57,FITC,CD24,AF532,IgM,BV480,CD24,AF532,IgM,BV480,CD38,AF700
CD123,BV650,CD38,BV785,CD57,PE-Cy7,CD28,PE-CF594,CD24,AF532,CD123,APC,CD38,BV785,CD123,BUV661,CD38,BV785,CD183,BV421
IgM,BV480,HLA-DR,PE-Cy5.5,CD11c,PE-CF594,CD11c,BV711,IgM,BV480,IgM,BV480,HLA-DR,BV570,IgM,BV480,HLA-DR,PE-Cy5.5,CD28,PE-CF594
CD38,BV785,CD24,AF532,CD123,BUV661,CD24,PE-AF610,CD197,APC-eFluor780,CD38,PerCP-Cy5.5,CD24,PE-AF610,CD38,BV785,CD24,PE-CF594,CD24,PE-AF610
HLA-DR,PE-Cy5.5,CD14,PerCP-Cy5.5,CD14,PE-Cy5.5,CD25,PerCP-eFluor710,CD38,BV785,CD185,BUV563,CD197,APC-eFluor780,HLA-DR,PE-Cy5.5,CD123,BUV661,CD123,BUV661
CD14,BUV496,CD20,APC-H7,CD197,APC-eFluor780,CD14,BUV496,HLA-DR,PE-Cy5.5,CD14,PE-TexasRed,CD123,BUV661,CD14,PerCP-Cy5.5,CD14,PerCP-Cy5.5,CD197,PE-Fire700
CD197,APC-eFluor780,CD185,AF647,CD38,BV480,CD123,BUV661,CD185,PerCP-Cy5.5,HLA-DR,PE-Cy5.5,CD45RA,APC,CD20,APC-H7,CD20,APC-H7,CD45RA,APC
CD20,PerCP-Cy5.5,CD197,PE-Fire700,CD185,AF647,CD38,BV480,CD14,AF700,CD20,APC-H7,CD185,AF647,CD185,AF647,CD185,AF647,CD185,AF647
CD185,BUV563,CD56,BUV737,CD56,BUV737,CD45RA,APC,CD20,APC-H7,CD197,PE-Fire700,CD95,PerCP-eFluor710,CD197,APC-eFluor780,CD197,APC-eFluor780,CD95,BUV737
CD56,SparkNIR685,CD123,BUV661,CD95,APC-Fire810,CD95,APC-Fire810,CD45RA,BB515,CD56,SparkNIR685,CD25,PE-AF700,CD56,BUV737,CD56,SparkNIR685,CD56,SparkNIR685
CD25,PerCP-eFluor710,CD95,BUV615,CD3,BUV805,CD27,BUV737,CD95,BUV737,CD45RA,BB515,CD14,PE-Cy5.5,CD95,PerCP-eFluor710,CD25,APC-Cy7,CD19,APC-Cy7
CD95,BUV737,CD3,BUV805,CD25,PerCP-eFluor710,CD56,SparkNIR685,CD56,BV570,CD95,BUV737,CD19,SparkNIR685,CD25,BV786,CD19,APC,CD25,PerCP-eFluor710
CD19,APC,CD25,APC-Cy7,CD20,BV605,CD19,AF647,CD27,BV786,CD3,BUV805,CD56,BUV737,CD27,APC,CD45RA,BB515,CD20,APC-H7
CD45RA,BV570,CD16,BV570,CD27,BV510,CD185,BUV563,CD25,PerCP-eFluor710,CD16,BV570,CD20,PerCP-Cy5.5,CD45RA,BB515,CD95,BUV737,CD27,BV786
CD27,APC-Fire810,CD19,PE-AF610,CD45RA,BB515,CD20,APC-H7,CD3,BUV805,CD19,APC-Cy7,CD27,APC-Fire810,CD19,SparkNIR685,CD16,PE-TexasRed,CD16,VioBlue
CD3,BUV805,CD45RA,BB515,CD8,BV711,CD3,BUV805,CD16,VioBlue,CD25,PerCP-eFluor710,CD3,BUV805,CD3,BUV805,CD3,BUV805,CD14,PE-Cy5.5
CD16,VioBlue,CD27,APC,CD16,VioBlue,CD16,PE-TexasRed,CD19,SparkNIR685,CD27,APC-Fire810,CD16,VioBlue,CD16,BV570,CD4,PE-Fire810,CD3,BUV805
CD4,PE-Fire810,CD8,V500,CD19,SparkNIR685,CD4,PE-Fire810,CD4,BB700,CD4,PE-Fire810,CD4,BB700,CD4,PE-Fire810,CD27,APC-Fire810,CD8,BUV615
CD8,PE-TexasRed,CD4,SparkNIR685,CD4,APC,CD8,BV650,CD8,PE-TexasRed,CD8,BV785,CD8,V500,CD8,APC-Vio770,CD8,PerCP-eFluor710,CD4,BV510
